expression,original_order,source,reviewed_as,difficulty,commonality,added,confidence
make up for,69,user_list,phrasal-prepositional verb,medium,common,no,medium
shoot down,70,user_list,phrasal verb,medium,less_common,no,high
insist on,71,user_list,prepositional verb,medium,common,no,high
fall back,72,user_list,phrasal verb,medium,common,no,high
catch up with,73,user_list,phrasal-prepositional verb,hard,less_common,no,medium
grow on,74,user_list,prepositional verb,medium,common,no,high
set about,75,user_list,prepositional verb,medium,common,no,high
read on,76,user_list,prepositional verb,medium,common,no,high
side with,77,user_list,prepositional verb,medium,less_common,no,high
take back,78,user_list,phrasal verb,easy,very_common,no,high
cling to,79,user_list,prepositional verb,medium,less_common,no,high
run by,80,user_list,prepositional verb,medium,common,no,high
go before,81,user_list,prepositional verb,medium,common,no,high
sign in,82,user_list,prepositional verb,medium,less_common,no,high
take down,83,user_list,phrasal verb,easy,very_common,no,high
fight back,84,user_list,phrasal verb,medium,less_common,no,high
live together,85,user_list,phrasal verb,medium,less_common,no,high
lean on,86,user_list,prepositional verb,medium,less_common,no,high
drop off,87,user_list,phrasal verb,easy,very_common,no,high
bump into,88,user_list,prepositional verb,medium,less_common,no,high
leave out,89,user_list,phrasal verb,easy,very_common,no,high
go without,90,user_list,prepositional verb,medium,common,no,high
sing along,91,user_list,prepositional verb,medium,less_common,no,high
go together,92,user_list,phrasal verb,medium,common,no,high
speak up,93,user_list,phrasal verb,easy,very_common,no,high
fool around,94,user_list,phrasal verb,medium,less_common,no,high
hand down,95,user_list,phrasal verb,medium,common,no,high
phone in,96,user_list,prepositional verb,medium,less_common,no,high
buy in,97,user_list,prepositional verb,medium,less_common,no,high
roll down,98,user_list,phrasal verb,medium,less_common,no,high
break through,99,user_list,phrasal verb,medium,common,no,high
round up,100,user_list,phrasal verb,medium,less_common,no,high
identify with,101,user_list,prepositional verb,medium,less_common,no,high
stick out,102,user_list,phrasal verb,medium,less_common,no,high
feed on,103,user_list,prepositional verb,medium,less_common,no,high
fit into,104,user_list,prepositional verb,medium,less_common,no,high
stand back,105,user_list,phrasal verb,easy,very_common,no,high
ring around,106,user_list,prepositional verb,medium,less_common,no,high
pull in,107,user_list,prepositional verb,medium,less_common,no,high
go against,108,user_list,prepositional verb,easy,very_common,no,high
lie around,109,user_list,prepositional verb,medium,less_common,no,high
clock in,110,user_list,phrasal verb,medium,less_common,no,high
give back,111,user_list,phrasal verb,easy,very_common,no,high
stop in,112,user_list,phrasal verb,medium,less_common,no,high
disagree with,113,user_list,prepositional verb,medium,less_common,no,high
shout out,114,user_list,phrasal verb,medium,less_common,no,high
hide behind,115,user_list,prepositional verb,medium,less_common,no,high
sink in,116,user_list,phrasal verb,medium,less_common,no,high
set on,117,user_list,prepositional verb,medium,common,no,high
finish with,118,user_list,prepositional verb,medium,less_common,no,high
set off,119,user_list,phrasal verb,easy,very_common,no,high
cut down,120,user_list,phrasal verb,easy,very_common,no,high
hit with,121,user_list,prepositional verb,medium,less_common,no,high
lead off,122,user_list,phrasal verb,medium,less_common,no,high
sort out,123,user_list,phrasal verb,easy,very_common,no,high
bring down,124,user_list,phrasal verb,medium,common,no,high
limit to,125,user_list,prepositional verb,medium,less_common,no,high
read out,126,user_list,phrasal verb,easy,very_common,no,high
fall over,127,user_list,phrasal verb,easy,very_common,no,high
roll out,128,user_list,phrasal verb,medium,less_common,no,high
spy on,129,user_list,prepositional verb,medium,less_common,no,high
step forward,130,user_list,phrasal verb,medium,less_common,no,high
get behind,131,user_list,prepositional verb,medium,common,no,high
join in,132,user_list,phrasal verb,medium,less_common,no,high
gun down,133,user_list,phrasal verb,medium,less_common,no,high
kick off,134,user_list,phrasal verb,medium,less_common,no,high
fall through,135,user_list,phrasal verb,medium,common,no,high
hold to,136,user_list,prepositional verb,medium,common,no,high
come before,137,user_list,prepositional verb,medium,common,no,high
deal in,138,user_list,prepositional verb,medium,common,no,high
draw on,139,user_list,phrasal verb,medium,less_common,no,high
hang on to,140,user_list,phrasal-prepositional verb,hard,less_common,no,medium
settle for,141,user_list,prepositional verb,medium,less_common,no,high
settle in,142,user_list,phrasal verb,medium,less_common,no,high
hook up with,143,user_list,phrasal-prepositional verb,hard,less_common,no,medium
ply with,144,user_list,prepositional verb,medium,less_common,no,high
fill out,145,user_list,phrasal verb,easy,very_common,no,high
shoot for,146,user_list,prepositional verb,medium,less_common,no,high
breathe in,147,user_list,phrasal verb,medium,less_common,no,high
enter into,148,user_list,prepositional verb,medium,less_common,no,high
bring about,149,user_list,phrasal verb,easy,very_common,no,high
call back,150,user_list,phrasal verb,easy,very_common,no,high
go along with,151,user_list,phrasal-prepositional verb,medium,common,no,medium
lay into,152,user_list,prepositional verb,medium,less_common,no,high
cut through,153,user_list,phrasal verb,medium,less_common,no,high
speak out,154,user_list,phrasal verb,medium,less_common,no,high
let out,155,user_list,phrasal verb,medium,common,no,high
tap in,156,user_list,prepositional verb,medium,less_common,no,high
date to,157,user_list,prepositional verb,medium,less_common,no,high
fuck around,158,user_list,phrasal verb,hard,rare,no,high
come about,159,user_list,prepositional verb,medium,common,no,high
hit for,160,user_list,prepositional verb,medium,less_common,no,high
come away,161,user_list,phrasal verb,medium,common,no,high
get ahead,162,user_list,phrasal verb,medium,common,no,high
finish up,163,user_list,phrasal verb,medium,less_common,no,high
follow up,164,user_list,phrasal verb,medium,less_common,no,high
chance on,165,user_list,phrasal verb,medium,less_common,no,high
dig up,166,user_list,phrasal verb,medium,less_common,no,high
give out,167,user_list,phrasal verb,medium,common,no,high
grow out,168,user_list,phrasal verb,medium,common,no,high
see about,169,user_list,prepositional verb,medium,less_common,no,high
tear apart,170,user_list,phrasal verb,medium,less_common,no,high
come forward,171,user_list,phrasal verb,medium,common,no,high
burn up,172,user_list,phrasal verb,medium,less_common,no,high
pull on,173,user_list,prepositional verb,medium,less_common,no,high
tear down,174,user_list,phrasal verb,medium,less_common,no,high
pull back,175,user_list,phrasal verb,medium,less_common,no,high
grow into,176,user_list,prepositional verb,easy,very_common,no,high
sit by,177,user_list,prepositional verb,medium,common,no,high
close in,178,user_list,phrasal verb,medium,less_common,no,high
flirt with,179,user_list,prepositional verb,medium,less_common,no,high
go beyond,180,user_list,prepositional verb,medium,common,no,high
move over,181,user_list,prepositional verb,medium,common,no,high
sit out,182,user_list,phrasal verb,medium,common,no,high
shoot up,183,user_list,phrasal verb,medium,less_common,no,high
box in,184,user_list,phrasal verb,medium,less_common,no,high
draw in,185,user_list,phrasal verb,medium,less_common,no,high
revolve around,186,user_list,prepositional verb,medium,less_common,no,high
draw from,187,user_list,prepositional verb,medium,less_common,no,high
eat into,188,user_list,prepositional verb,medium,less_common,no,high
jerk off,189,user_list,phrasal verb,hard,rare,no,high
pull down,190,user_list,phrasal verb,medium,less_common,no,high
keep to,191,user_list,prepositional verb,medium,common,no,high
dream on,192,user_list,prepositional verb,medium,less_common,no,high
fire up,193,user_list,phrasal verb,medium,less_common,no,high
let on,194,user_list,phrasal verb,medium,common,no,high
lock out,195,user_list,phrasal verb,medium,less_common,no,high
drop by,196,user_list,phrasal verb,easy,very_common,no,high
stand down,197,user_list,phrasal verb,medium,common,no,high
keep from,198,user_list,prepositional verb,medium,common,no,high
drive on,199,user_list,phrasal verb,medium,less_common,no,high
push for,200,user_list,prepositional verb,medium,less_common,no,high
factor in,201,user_list,prepositional verb,medium,less_common,no,high
hang up on,202,user_list,phrasal-prepositional verb,hard,less_common,no,medium
lean to,203,user_list,prepositional verb,medium,less_common,no,high
man up,204,user_list,phrasal verb,medium,less_common,no,high
break for,205,user_list,prepositional verb,medium,common,no,high
come round,206,user_list,prepositional verb,medium,common,no,high
provide for,207,user_list,prepositional verb,medium,less_common,no,high
clean out,208,user_list,phrasal verb,medium,less_common,no,high
heat up,209,user_list,phrasal verb,medium,less_common,no,high
lock away,210,user_list,phrasal verb,medium,less_common,no,high
pay in,211,user_list,prepositional verb,medium,less_common,no,high
root for,212,user_list,prepositional verb,medium,less_common,no,high
interfere with,213,user_list,prepositional verb,medium,less_common,no,high
move in with,214,user_list,phrasal-prepositional verb,medium,common,no,medium
cheer up,215,user_list,phrasal verb,medium,less_common,no,high
spread out,216,user_list,phrasal verb,medium,less_common,no,high
fall away,217,user_list,phrasal verb,medium,common,no,high
grow out of,218,user_list,phrasal-prepositional verb,medium,common,no,medium
move along,219,user_list,prepositional verb,medium,common,no,high
hang over,220,user_list,prepositional verb,medium,less_common,no,high
put away,221,user_list,phrasal verb,easy,very_common,no,high
press on,222,user_list,phrasal verb,medium,less_common,no,high
step down,223,user_list,phrasal verb,medium,less_common,no,high
clear out,224,user_list,phrasal verb,medium,less_common,no,high
let down,225,user_list,phrasal verb,easy,very_common,no,high
pick up on,226,user_list,phrasal-prepositional verb,medium,very_common,no,high
speed up,227,user_list,phrasal verb,easy,very_common,no,high
dry up,228,user_list,phrasal verb,medium,less_common,no,high
cut up,229,user_list,phrasal verb,medium,less_common,no,high
major in,230,user_list,prepositional verb,medium,less_common,no,high
rise above,231,user_list,prepositional verb,medium,less_common,no,high
face down,232,user_list,phrasal verb,medium,less_common,no,high
follow through,233,user_list,phrasal verb,medium,less_common,no,high
call at,234,user_list,prepositional verb,medium,common,no,high
cross over,235,user_list,phrasal verb,medium,less_common,no,high
tell on,236,user_list,phrasal verb,medium,less_common,no,high
cash in,237,user_list,phrasal verb,medium,less_common,no,high
drive away,238,user_list,phrasal verb,medium,less_common,no,high
land with,239,user_list,prepositional verb,medium,less_common,no,high
suck in,240,user_list,phrasal verb,medium,less_common,no,high
burst into,241,user_list,prepositional verb,medium,less_common,no,high
seek out,242,user_list,phrasal verb,medium,less_common,no,high
raise to,243,user_list,prepositional verb,medium,less_common,no,high
gain on,244,user_list,prepositional verb,medium,less_common,no,high
run at,245,user_list,prepositional verb,medium,common,no,high
leave off,246,user_list,phrasal verb,medium,common,no,high
cool down,247,user_list,phrasal verb,medium,less_common,no,high
rack up,248,user_list,phrasal verb,hard,rare,no,high
draw up,249,user_list,phrasal verb,medium,less_common,no,high
drive off,250,user_list,phrasal verb,medium,less_common,no,high
ice up,251,user_list,phrasal verb,medium,less_common,no,high
roll around,252,user_list,phrasal verb,medium,less_common,no,high
stay over,253,user_list,phrasal verb,medium,less_common,no,high
buy into,254,user_list,prepositional verb,medium,less_common,no,high
pour out,255,user_list,phrasal verb,medium,less_common,no,high
sleep together,256,user_list,phrasal verb,medium,less_common,no,high
fall behind,257,user_list,prepositional verb,easy,very_common,no,high
suit to,258,user_list,prepositional verb,medium,less_common,no,high
check into,259,user_list,prepositional verb,medium,common,no,high
decide on,260,user_list,phrasal verb,medium,less_common,no,high
keep out,261,user_list,phrasal verb,easy,very_common,no,high
surrender to,262,user_list,prepositional verb,medium,less_common,no,high
sit for,263,user_list,prepositional verb,medium,common,no,high
shake up,264,user_list,phrasal verb,medium,less_common,no,high
creep in,265,user_list,phrasal verb,medium,less_common,no,high
close down,266,user_list,phrasal verb,medium,less_common,no,high
punch in,267,user_list,prepositional verb,medium,less_common,no,high
clear up,268,user_list,phrasal verb,medium,less_common,no,high
jack off,269,user_list,phrasal verb,hard,rare,no,high
sign off,270,user_list,phrasal verb,medium,less_common,no,high
tell of,271,user_list,prepositional verb,medium,less_common,no,high
rag on,272,user_list,phrasal verb,medium,less_common,no,high
talk at,273,user_list,prepositional verb,medium,less_common,no,high
play along,274,user_list,prepositional verb,medium,less_common,no,high
get across,275,user_list,phrasal verb,easy,very_common,no,high
pin on,276,user_list,phrasal verb,medium,less_common,no,high
talk back,277,user_list,phrasal verb,medium,less_common,no,high
face off,278,user_list,phrasal verb,medium,less_common,no,high
step aside,279,user_list,phrasal verb,medium,less_common,no,high
listen for,280,user_list,prepositional verb,medium,common,no,high
part with,281,user_list,prepositional verb,medium,less_common,no,high
pay up,282,user_list,phrasal verb,medium,less_common,no,high
sneak up,283,user_list,phrasal verb,medium,less_common,no,high
drink up,284,user_list,phrasal verb,medium,less_common,no,high
put off,285,user_list,phrasal verb,easy,very_common,no,high
stem from,286,user_list,prepositional verb,medium,less_common,no,high
stretch out,287,user_list,phrasal verb,medium,less_common,no,high
switch off,288,user_list,phrasal verb,medium,less_common,no,high
keep away,289,user_list,phrasal verb,easy,very_common,no,high
drive up,290,user_list,phrasal verb,medium,less_common,no,high
scream out,291,user_list,phrasal verb,medium,less_common,no,high
dawn on,292,user_list,phrasal verb,medium,less_common,no,high
drive down,293,user_list,phrasal verb,medium,less_common,no,high
dwell on,294,user_list,prepositional verb,medium,less_common,no,high
come upon,295,user_list,prepositional verb,medium,common,no,high
hold off,296,user_list,phrasal verb,medium,common,no,high
dream away,297,user_list,phrasal verb,medium,less_common,no,high
loosen up,298,user_list,phrasal verb,medium,less_common,no,high
bow to,299,user_list,prepositional verb,medium,less_common,no,high
call off,300,user_list,phrasal verb,easy,very_common,no,high
curl up,301,user_list,phrasal verb,medium,less_common,no,high
push back,302,user_list,phrasal verb,medium,less_common,no,high
run across,303,user_list,prepositional verb,medium,common,no,high
call upon,304,user_list,prepositional verb,medium,common,no,high
reduce to,305,user_list,prepositional verb,medium,less_common,no,high
tart up,306,user_list,phrasal verb,hard,rare,no,high
slip out,307,user_list,phrasal verb,medium,less_common,no,high
lighten up,308,user_list,phrasal verb,medium,less_common,no,high
switch on,309,user_list,prepositional verb,medium,less_common,no,high
mix in,310,user_list,phrasal verb,medium,less_common,no,high
dispose of,311,user_list,prepositional verb,medium,less_common,no,high
push in,312,user_list,phrasal verb,medium,less_common,no,high
read through,313,user_list,prepositional verb,medium,common,no,high
drive out,314,user_list,phrasal verb,medium,less_common,no,high
march on,315,user_list,phrasal verb,medium,less_common,no,high
feed off,316,user_list,phrasal verb,medium,less_common,no,high
feel up,317,user_list,phrasal verb,medium,less_common,no,high
finish off,318,user_list,phrasal verb,medium,less_common,no,high
listen in,319,user_list,prepositional verb,medium,common,no,high
embark on,320,user_list,prepositional verb,medium,less_common,no,high
fish for,321,user_list,prepositional verb,medium,less_common,no,high
catch up on,322,user_list,phrasal-prepositional verb,hard,less_common,no,medium
force on,323,user_list,prepositional verb,medium,less_common,no,high
keep at,324,user_list,prepositional verb,medium,common,no,high
push on,325,user_list,phrasal verb,medium,less_common,no,high
see out,326,user_list,phrasal verb,medium,less_common,no,high
take it out on,327,user_list,phrasal-prepositional verb,hard,less_common,no,medium
mess around with,328,user_list,phrasal-prepositional verb,hard,less_common,no,medium
put yourself out,329,user_list,phrasal verb,medium,common,no,medium
crack on,330,user_list,phrasal verb,medium,less_common,no,high
let up,331,user_list,phrasal verb,medium,common,no,high
lose yourself in,332,user_list,prepositional verb,medium,less_common,no,medium
remind of,333,user_list,prepositional verb,medium,less_common,no,high
team up,334,user_list,phrasal verb,medium,less_common,no,high
dig into,335,user_list,prepositional verb,medium,less_common,no,high
dive into,336,user_list,prepositional verb,medium,less_common,no,high
sleep over,337,user_list,prepositional verb,medium,less_common,no,high
chip in,338,user_list,phrasal verb,medium,less_common,no,high
lash out,339,user_list,phrasal verb,medium,less_common,no,high
melt away,340,user_list,phrasal verb,medium,less_common,no,high
count in,341,user_list,prepositional verb,medium,less_common,no,high
fade in,342,user_list,phrasal verb,medium,less_common,no,high
gravitate to,343,user_list,prepositional verb,medium,less_common,no,high
dry out,344,user_list,phrasal verb,medium,less_common,no,high
hot up,345,user_list,phrasal verb,medium,less_common,no,high
ice over,346,user_list,phrasal verb,medium,less_common,no,high
knock off,347,user_list,phrasal verb,medium,less_common,no,high
make into,348,user_list,prepositional verb,medium,common,no,high
break off,349,user_list,phrasal verb,medium,common,no,high
crack up,350,user_list,phrasal verb,medium,less_common,no,high
rest with,351,user_list,prepositional verb,medium,less_common,no,high
send on,352,user_list,phrasal verb,medium,less_common,no,high
cater to,353,user_list,prepositional verb,medium,less_common,no,high
glass in,354,user_list,phrasal verb,medium,less_common,no,high
pack in,355,user_list,phrasal verb,medium,less_common,no,high
suck up,356,user_list,phrasal verb,medium,less_common,no,high
pull yourself together,357,user_list,phrasal verb,medium,less_common,no,medium
fix up,358,user_list,phrasal verb,medium,less_common,no,high
horn in,359,user_list,phrasal verb,medium,less_common,no,high
lift off,360,user_list,phrasal verb,medium,less_common,no,high
tag along,361,user_list,prepositional verb,medium,less_common,no,high
cut back,362,user_list,phrasal verb,medium,less_common,no,high
put back,363,user_list,phrasal verb,easy,very_common,no,high
swing by,364,user_list,prepositional verb,medium,less_common,no,high
float around,365,user_list,phrasal verb,medium,less_common,no,high
hoe in,366,user_list,phrasal verb,hard,rare,no,high
pass for,367,user_list,prepositional verb,medium,less_common,no,high
rip up,368,user_list,phrasal verb,medium,less_common,no,high
pitch in,369,user_list,phrasal verb,medium,less_common,no,high
build into,370,user_list,prepositional verb,medium,less_common,no,high
fear for,371,user_list,prepositional verb,medium,less_common,no,high
jump at,372,user_list,prepositional verb,medium,less_common,no,high
pull away,373,user_list,phrasal verb,medium,less_common,no,high
run after,374,user_list,prepositional verb,medium,common,no,high
settle on,375,user_list,phrasal verb,medium,less_common,no,high
stamp on,376,user_list,prepositional verb,medium,less_common,no,high
bounce back,377,user_list,phrasal verb,medium,less_common,no,high
chop off,378,user_list,phrasal verb,medium,less_common,no,high
cook up,379,user_list,phrasal verb,medium,less_common,no,high
eye up,380,user_list,phrasal verb,medium,less_common,no,high
hold together,381,user_list,phrasal verb,medium,common,no,high
row back,382,user_list,phrasal verb,medium,less_common,no,high
rule out,383,user_list,phrasal verb,medium,less_common,no,high
count down,384,user_list,phrasal verb,medium,less_common,no,high
fold in,385,user_list,phrasal verb,medium,less_common,no,high
lie behind,386,user_list,prepositional verb,medium,less_common,no,high
pass down,387,user_list,phrasal verb,medium,less_common,no,high
do over,388,user_list,phrasal verb,medium,less_common,no,high
fall back on,389,user_list,phrasal-prepositional verb,medium,common,no,medium
shy away,390,user_list,phrasal verb,medium,less_common,no,high
check up on,391,user_list,phrasal-prepositional verb,medium,common,no,medium
die out,392,user_list,phrasal verb,medium,less_common,no,high
shut off,393,user_list,phrasal verb,medium,less_common,no,high
enter on,394,user_list,prepositional verb,medium,less_common,no,high
hang around with,395,user_list,phrasal-prepositional verb,hard,less_common,no,medium
hunt down,396,user_list,phrasal verb,medium,less_common,no,high
kick up,397,user_list,phrasal verb,medium,less_common,no,high
pile up,398,user_list,phrasal verb,medium,less_common,no,high
rub off,399,user_list,phrasal verb,medium,less_common,no,high
subscribe to,400,user_list,prepositional verb,medium,less_common,no,high
drag in,401,user_list,phrasal verb,medium,less_common,no,high
pay back,402,user_list,phrasal verb,easy,very_common,no,high
stir up,403,user_list,phrasal verb,medium,less_common,no,high
shoot off,404,user_list,phrasal verb,medium,less_common,no,high
butt in,405,user_list,phrasal verb,medium,less_common,no,high
creep up,406,user_list,phrasal verb,medium,less_common,no,high
eat away,407,user_list,phrasal verb,medium,less_common,no,high
have out,408,user_list,phrasal verb,medium,less_common,no,high
hold down,409,user_list,phrasal verb,medium,common,no,high
match up,410,user_list,phrasal verb,medium,less_common,no,high
shine through,411,user_list,prepositional verb,medium,less_common,no,high
confide in,412,user_list,prepositional verb,medium,less_common,no,high
level with,413,user_list,prepositional verb,medium,less_common,no,high
power on,414,user_list,prepositional verb,medium,less_common,no,high
rat on,415,user_list,prepositional verb,medium,less_common,no,high
resort to,416,user_list,prepositional verb,medium,less_common,no,high
talk out,417,user_list,phrasal verb,medium,less_common,no,high
change over,418,user_list,phrasal verb,medium,less_common,no,high
pick yourself up,419,user_list,phrasal verb,medium,common,no,medium
rope in,420,user_list,phrasal verb,medium,less_common,no,high
sell on,421,user_list,phrasal verb,medium,less_common,no,high
send off,422,user_list,phrasal verb,medium,less_common,no,high
stick at,423,user_list,prepositional verb,medium,less_common,no,high
fly at,424,user_list,prepositional verb,medium,less_common,no,high
run along,425,user_list,prepositional verb,medium,common,no,high
stay around,426,user_list,phrasal verb,medium,less_common,no,high
pan out,427,user_list,phrasal verb,medium,less_common,no,high
have up,428,user_list,phrasal verb,medium,less_common,no,high
kill off,429,user_list,phrasal verb,medium,less_common,no,high
knock over,430,user_list,phrasal verb,medium,less_common,no,high
ream out,431,user_list,phrasal verb,medium,less_common,no,high
ride out,432,user_list,phrasal verb,medium,less_common,no,high
shoot through,433,user_list,prepositional verb,medium,less_common,no,high
soldier on,434,user_list,phrasal verb,hard,rare,no,high
clock on,435,user_list,phrasal verb,medium,less_common,no,high
fall upon,436,user_list,prepositional verb,medium,common,no,high
knock up,437,user_list,phrasal verb,medium,less_common,no,high
cry out for,438,user_list,phrasal-prepositional verb,hard,less_common,no,medium
have back,439,user_list,phrasal verb,medium,less_common,no,high
hole up,440,user_list,phrasal verb,medium,less_common,no,high
look ahead,441,user_list,phrasal verb,medium,common,no,high
piece together,442,user_list,phrasal verb,medium,less_common,no,high
ride up,443,user_list,phrasal verb,medium,less_common,no,high
take after,444,user_list,prepositional verb,easy,very_common,no,high
bottle up,445,user_list,phrasal verb,medium,less_common,no,high
drag on,446,user_list,phrasal verb,medium,less_common,no,high
egg on,447,user_list,phrasal verb,medium,less_common,no,high
pump up,448,user_list,phrasal verb,medium,less_common,no,high
put aside,449,user_list,phrasal verb,medium,common,no,high
ease up,450,user_list,phrasal verb,medium,less_common,no,high
fix on,451,user_list,phrasal verb,medium,less_common,no,high
keep out of,452,user_list,phrasal-prepositional verb,medium,common,no,medium
keep to yourself,453,user_list,prepositional verb,medium,common,no,medium
pin down,454,user_list,phrasal verb,medium,less_common,no,high
press for,455,user_list,prepositional verb,medium,less_common,no,high
tear at,456,user_list,prepositional verb,medium,less_common,no,high
come under,457,user_list,prepositional verb,medium,common,no,high
double back,458,user_list,phrasal verb,medium,less_common,no,high
fade out,459,user_list,phrasal verb,medium,less_common,no,high
gravitate toward,460,user_list,prepositional verb,medium,less_common,no,high
hunger for,461,user_list,prepositional verb,medium,less_common,no,high
pass over,462,user_list,prepositional verb,medium,less_common,no,high
set aside,463,user_list,phrasal verb,medium,common,no,high
fan out,464,user_list,phrasal verb,medium,less_common,no,high
strike out,465,user_list,phrasal verb,medium,less_common,no,high
rub it in,466,user_list,phrasal verb,medium,less_common,no,high
send up,467,user_list,phrasal verb,medium,less_common,no,high
squeeze in,468,user_list,phrasal verb,medium,less_common,no,high
break with,469,user_list,prepositional verb,medium,common,no,high
dream up,470,user_list,phrasal verb,medium,less_common,no,high
plan out,471,user_list,phrasal verb,medium,less_common,no,high
die down,472,user_list,phrasal verb,medium,less_common,no,high
lose out,473,user_list,phrasal verb,medium,less_common,no,high
roll back,474,user_list,phrasal verb,medium,less_common,no,high
sit through,475,user_list,prepositional verb,medium,common,no,high
breathe out,476,user_list,phrasal verb,medium,less_common,no,high
butt out,477,user_list,phrasal verb,medium,less_common,no,high
soak up,478,user_list,phrasal verb,medium,less_common,no,high
cool off,479,user_list,phrasal verb,medium,less_common,no,high
grind on,480,user_list,phrasal verb,medium,less_common,no,high
grow back,481,user_list,phrasal verb,medium,common,no,high
snap out,482,user_list,phrasal verb,medium,less_common,no,high
stumble upon,483,user_list,prepositional verb,medium,less_common,no,high
sum up,484,user_list,phrasal verb,medium,less_common,no,high
deal out,485,user_list,phrasal verb,medium,common,no,high
jack up,486,user_list,phrasal verb,hard,rare,no,high
suck into,487,user_list,prepositional verb,medium,less_common,no,high
camp out,488,user_list,phrasal verb,medium,less_common,no,high
hit back,489,user_list,phrasal verb,medium,less_common,no,high
hold out for,490,user_list,phrasal-prepositional verb,medium,common,no,medium
poke about,491,user_list,prepositional verb,medium,less_common,no,high
reside in,492,user_list,prepositional verb,medium,less_common,no,high
stack up,493,user_list,phrasal verb,medium,less_common,no,high
date back,494,user_list,phrasal verb,medium,less_common,no,high
draw out,495,user_list,phrasal verb,medium,less_common,no,high
flow from,496,user_list,prepositional verb,medium,less_common,no,high
latch on,497,user_list,prepositional verb,medium,less_common,no,high
play up,498,user_list,phrasal verb,medium,less_common,no,high
sweep away,499,user_list,phrasal verb,medium,less_common,no,high
drop into,500,user_list,prepositional verb,medium,common,no,high
map out,501,user_list,phrasal verb,medium,less_common,no,high
