expression,original_order,source,reviewed_as,difficulty,commonality,added,confidence
in all,72,user_list,fixed/prepositional phrase,easy,very_common,no,high
quite a/the something,73,user_list,fixed expression,medium,common,no,medium
no/any longer,74,user_list,fixed expression,medium,common,no,medium
let somebody know,75,user_list,formula/discourse,easy,very_common,no,high
in somebody's eyes,76,user_list,fixed expression,medium,common,no,medium
of the day,77,user_list,fixed/prepositional phrase,easy,very_common,no,high
so far,78,user_list,fixed expression,medium,common,no,medium
have/get something down,79,user_list,fixed expression,medium,common,no,medium
up there,80,user_list,fixed/prepositional phrase,easy,very_common,no,high
too late,81,user_list,fixed expression,medium,common,no,medium
much as,82,user_list,fixed expression,medium,common,no,medium
here you are,83,user_list,formula/discourse,easy,very_common,no,high
in order,84,user_list,fixed/prepositional phrase,easy,very_common,no,high
have a go,85,user_list,fixed expression,medium,common,no,medium
have no idea,86,user_list,fixed expression,medium,common,no,medium
in somebody's face,87,user_list,fixed expression,medium,common,no,medium
the... of this world,88,user_list,sentence frame/pattern,medium,common,no,low
on top,89,user_list,fixed/prepositional phrase,easy,very_common,no,high
what do you want?,90,user_list,sentence frame/pattern,medium,common,no,low
you're on,91,user_list,fixed expression,medium,common,no,medium
in time,92,user_list,fixed/prepositional phrase,easy,very_common,no,high
pretty much/well,93,user_list,fixed expression,medium,common,no,medium
in common,94,user_list,fixed/prepositional phrase,easy,very_common,no,high
of all the...,95,user_list,sentence frame/pattern,medium,common,no,low
leave/let somebody alone,96,user_list,fixed expression,medium,common,no,medium
leave/let something alone,97,user_list,fixed expression,medium,common,no,medium
or anything,98,user_list,fixed expression,medium,common,no,medium
on the side,99,user_list,fixed/prepositional phrase,easy,very_common,no,high
look good,100,user_list,fixed expression,medium,common,no,high
wait a minute/moment/second,101,user_list,formula/discourse,easy,very_common,no,high
to God/goodness/Heaven,102,user_list,fixed/prepositional phrase,easy,very_common,no,high
I'm afraid,103,user_list,formula/discourse,easy,very_common,no,high
it's a... thing,104,user_list,sentence frame/pattern,medium,common,no,low
this side of...,105,user_list,sentence frame/pattern,medium,common,no,low
for something's sake,106,user_list,fixed expression,medium,common,no,medium
round here,107,user_list,fixed/prepositional phrase,easy,very_common,no,high
rather than,108,user_list,sentence frame/pattern,medium,common,no,low
back of something,109,user_list,idiom,hard,common,no,medium
on earth,110,user_list,fixed/prepositional phrase,easy,very_common,no,high
be even,111,user_list,fixed expression,medium,common,no,medium
the devil,112,user_list,fixed expression,medium,common,no,medium
the thing is,113,user_list,formula/discourse,easy,very_common,no,high
play somebody's game,114,user_list,fixed expression,medium,common,no,medium
the other day/morning/evening/week,115,user_list,fixed expression,medium,common,no,medium
go somebody's way,116,user_list,fixed expression,medium,common,no,medium
say what?,117,user_list,formula/discourse,easy,very_common,no,high
in the air,118,user_list,fixed/prepositional phrase,easy,very_common,no,high
that said,119,user_list,formula/discourse,easy,very_common,no,high
say when,120,user_list,formula/discourse,easy,very_common,no,high
seeing that...,121,user_list,sentence frame/pattern,medium,common,no,low
when it comes to something/to doing something,122,user_list,sentence frame/pattern,medium,common,no,low
out of it,123,user_list,fixed/prepositional phrase,easy,very_common,no,high
in the end,124,user_list,fixed/prepositional phrase,easy,very_common,no,high
make sense,125,user_list,fixed expression,medium,common,no,high
hold it,126,user_list,formula/discourse,easy,very_common,no,high
or whatever,127,user_list,fixed expression,medium,common,no,medium
on the road,128,user_list,fixed/prepositional phrase,easy,very_common,no,high
nothing but,129,user_list,fixed expression,medium,common,no,medium
on the ground,130,user_list,fixed/prepositional phrase,easy,very_common,no,high
in itself,131,user_list,fixed/prepositional phrase,easy,very_common,no,high
no problem,132,user_list,formula/discourse,easy,very_common,no,high
in bed,133,user_list,fixed/prepositional phrase,easy,very_common,no,high
just about,134,user_list,fixed expression,medium,common,no,medium
no go,135,user_list,fixed expression,medium,common,no,medium
that is it,136,user_list,fixed expression,medium,common,no,medium
this is it,137,user_list,fixed expression,medium,common,no,medium
on fire,138,user_list,fixed/prepositional phrase,easy,very_common,no,high
away with...,139,user_list,sentence frame/pattern,medium,common,no,low
go wrong,140,user_list,fixed expression,medium,common,no,medium
look how/what/who...,141,user_list,sentence frame/pattern,medium,common,no,low
in tow,142,user_list,fixed/prepositional phrase,easy,very_common,no,high
keep going,143,user_list,fixed expression,medium,common,no,medium
let me see/think,144,user_list,formula/discourse,easy,very_common,no,high
on top of something/somebody,145,user_list,fixed expression,medium,common,no,medium
more like...,146,user_list,sentence frame/pattern,medium,common,no,low
right away/off,147,user_list,fixed expression,medium,common,no,high
to death,148,user_list,fixed/prepositional phrase,easy,very_common,no,high
wait till/until...,149,user_list,sentence frame/pattern,medium,common,no,low
in that case,150,user_list,fixed/prepositional phrase,easy,very_common,no,high
watch it,151,user_list,formula/discourse,easy,very_common,no,high
right on,152,user_list,formula/discourse,easy,very_common,no,high
I/I'll give you that,153,user_list,fixed expression,medium,common,no,medium
lose it,154,user_list,fixed expression,medium,common,no,medium
to look at somebody/something,155,user_list,fixed expression,medium,common,no,medium
in two,156,user_list,fixed/prepositional phrase,easy,very_common,no,high
my pleasure,157,user_list,formula/discourse,easy,very_common,no,high
to somebody's face,158,user_list,fixed expression,medium,common,no,medium
out of the way,159,user_list,fixed/prepositional phrase,medium,common,no,high
out of your way,160,user_list,fixed/prepositional phrase,medium,common,no,high
on your mind,161,user_list,fixed/prepositional phrase,easy,very_common,no,high
other than,162,user_list,fixed expression,medium,common,no,medium
make something good,163,user_list,fixed expression,medium,common,no,medium
such as,164,user_list,fixed expression,medium,common,no,medium
I give you...,165,user_list,sentence frame/pattern,medium,common,no,low
good and...,166,user_list,sentence frame/pattern,medium,common,no,low
in person,167,user_list,fixed/prepositional phrase,easy,very_common,no,high
to a man,168,user_list,fixed/prepositional phrase,easy,very_common,no,high
up and down,169,user_list,binomial phrase,medium,common,no,medium
work it/things,170,user_list,fixed expression,medium,common,no,medium
too bad,171,user_list,formula/discourse,easy,very_common,no,high
more and more,172,user_list,binomial phrase,medium,common,no,medium
play the game,173,user_list,fixed expression,medium,common,no,medium
what have you,174,user_list,fixed expression,medium,common,no,medium
to the point,175,user_list,fixed/prepositional phrase,easy,very_common,no,high
in the care of somebody/in somebody's care,176,user_list,fixed expression,medium,less_common,no,low
I ask you,177,user_list,formula/discourse,easy,very_common,no,high
once again,178,user_list,fixed expression,medium,common,no,medium
in the first place,179,user_list,fixed/prepositional phrase,medium,common,no,high
no doubt,180,user_list,fixed expression,medium,common,no,high
on the run,181,user_list,fixed/prepositional phrase,easy,very_common,no,high
to somebody's door,182,user_list,fixed expression,medium,common,no,medium
if not,183,user_list,sentence frame/pattern,medium,common,no,low
never mind,184,user_list,formula/discourse,easy,very_common,no,high
I don't think so,185,user_list,formula/discourse,easy,very_common,no,high
mind you,186,user_list,formula/discourse,easy,very_common,no,high
lie low,187,user_list,idiom,hard,common,no,high
you're welcome,188,user_list,formula/discourse,easy,very_common,no,high
to hand,189,user_list,fixed/prepositional phrase,easy,very_common,no,high
who cares?,190,user_list,sentence frame/pattern,medium,common,no,low
on the part of somebody/on somebody's part,191,user_list,fixed expression,medium,less_common,no,low
in general,192,user_list,fixed/prepositional phrase,easy,very_common,no,high
I/I'll tell you what,193,user_list,fixed expression,medium,common,no,medium
you never know,194,user_list,formula/discourse,easy,very_common,no,high
in part,195,user_list,fixed/prepositional phrase,easy,very_common,no,high
in place,196,user_list,fixed/prepositional phrase,easy,very_common,no,high
on and on,197,user_list,binomial phrase,medium,common,no,medium
on the table,198,user_list,fixed/prepositional phrase,easy,very_common,no,high
not at all,199,user_list,fixed expression,medium,common,no,medium
hold somebody's hand,200,user_list,formula/discourse,easy,very_common,no,high
now for somebody/something,201,user_list,fixed expression,medium,common,no,medium
see the light,202,user_list,idiom,hard,common,no,high
hit it,203,user_list,fixed expression,medium,common,no,medium
take it easy,204,user_list,formula/discourse,easy,very_common,no,high
take it/things easy,205,user_list,fixed expression,medium,common,no,medium
in my book,206,user_list,fixed/prepositional phrase,easy,very_common,no,high
be into something,207,user_list,multi-word verb,medium,common,no,medium
the whole lot,208,user_list,fixed expression,medium,common,no,medium
say/give the word,209,user_list,fixed expression,medium,common,no,medium
there it is,210,user_list,fixed expression,medium,common,no,medium
nothing like,211,user_list,fixed expression,medium,common,no,medium
go to sleep,212,user_list,multi-word verb,medium,common,no,medium
of course not,213,user_list,fixed/prepositional phrase,easy,very_common,no,high
see something coming,214,user_list,fixed expression,medium,common,no,medium
there you are,215,user_list,fixed expression,medium,common,no,medium
on your feet,216,user_list,fixed/prepositional phrase,easy,very_common,no,high
out loud,217,user_list,fixed/prepositional phrase,easy,very_common,no,high
in hand,218,user_list,fixed/prepositional phrase,easy,very_common,no,high
if only,219,user_list,sentence frame/pattern,medium,common,no,low
up and down something,220,user_list,binomial phrase,medium,common,no,medium
not bad,221,user_list,fixed expression,medium,common,no,medium
in public,222,user_list,fixed/prepositional phrase,easy,very_common,no,high
if you like,223,user_list,sentence frame/pattern,medium,common,no,low
keep somebody going,224,user_list,fixed expression,medium,common,no,medium
over somebody's head,225,user_list,fixed expression,medium,common,no,medium
take somebody/something seriously,226,user_list,fixed expression,medium,common,no,medium
so much for something,227,user_list,fixed expression,medium,common,no,medium
up against something,228,user_list,fixed expression,medium,common,no,medium
God/goodness/Heaven knows,229,user_list,fixed expression,medium,common,no,medium
to the day,230,user_list,fixed/prepositional phrase,easy,very_common,no,high
to this day,231,user_list,fixed/prepositional phrase,easy,very_common,no,high
take place,232,user_list,fixed expression,medium,common,no,high
go straight,233,user_list,fixed expression,medium,common,no,medium
on the outside,234,user_list,fixed/prepositional phrase,easy,very_common,no,high
in the wind,235,user_list,fixed/prepositional phrase,easy,very_common,no,high
take somebody's life,236,user_list,fixed expression,medium,common,no,medium
make money,237,user_list,fixed expression,medium,common,no,high
hard on something,238,user_list,fixed expression,medium,common,no,medium
not necessarily,239,user_list,fixed expression,medium,common,no,medium
if anything,240,user_list,sentence frame/pattern,medium,common,no,low
on board,241,user_list,fixed/prepositional phrase,easy,very_common,no,high
of a kind,242,user_list,fixed/prepositional phrase,easy,very_common,no,high
something of the/that kind,243,user_list,fixed expression,medium,common,no,medium
in particular,244,user_list,fixed/prepositional phrase,easy,very_common,no,high
to wit,245,user_list,fixed/prepositional phrase,easy,very_common,no,high
wing it,246,user_list,fixed expression,medium,common,no,medium
back and forth,247,user_list,binomial phrase,medium,common,no,medium
on the inside,248,user_list,fixed/prepositional phrase,easy,very_common,no,high
on/walking the streets,249,user_list,fixed expression,medium,common,no,medium
of old,250,user_list,fixed/prepositional phrase,easy,very_common,no,high
something fierce,251,user_list,fixed expression,medium,common,no,medium
lose your mind,252,user_list,idiom,hard,common,no,medium
take somebody's/something's place,253,user_list,fixed expression,medium,common,no,medium
God bless,254,user_list,fixed expression,medium,common,no,medium
in your dreams,255,user_list,fixed/prepositional phrase,easy,very_common,no,high
what for?,256,user_list,sentence frame/pattern,medium,common,no,low
make fun of somebody/something,257,user_list,fixed expression,medium,common,no,medium
how's that?,258,user_list,formula/discourse,easy,very_common,no,high
to... extent,259,user_list,sentence frame/pattern,medium,common,no,low
just a minute/moment/second,260,user_list,fixed expression,medium,common,no,medium
in the name of somebody/something,261,user_list,fixed expression,medium,less_common,no,medium
what's your problem?,262,user_list,formula/discourse,easy,very_common,no,high
turn your back,263,user_list,idiom,hard,common,no,medium
see the world,264,user_list,fixed expression,medium,common,no,medium
of all time,265,user_list,fixed/prepositional phrase,easy,very_common,no,high
here goes,266,user_list,fixed expression,medium,common,no,medium
if it wasn't/weren't for...,267,user_list,sentence frame/pattern,medium,common,no,low
on your hands,268,user_list,fixed/prepositional phrase,easy,very_common,no,high
only if,269,user_list,fixed expression,medium,common,no,medium
now... now...,270,user_list,sentence frame/pattern,medium,common,no,low
keep an eye on somebody/something,271,user_list,idiom,medium,very_common,no,high
in the wrong,272,user_list,fixed/prepositional phrase,easy,very_common,no,high
have somebody's ear,273,user_list,idiom,hard,common,no,medium
to date,274,user_list,fixed/prepositional phrase,easy,very_common,no,high
in vain,275,user_list,fixed/prepositional phrase,easy,very_common,no,high
back in the day,276,user_list,idiom,hard,common,no,medium
what's with somebody?,277,user_list,formula/discourse,easy,very_common,no,high
what's with something?,278,user_list,formula/discourse,easy,very_common,no,high
if I were you,279,user_list,sentence frame/pattern,medium,common,no,low
you have no idea...,280,user_list,sentence frame/pattern,medium,common,no,low
going/moving forward,281,user_list,fixed expression,medium,common,no,medium
together with,282,user_list,fixed expression,medium,common,no,medium
sooner or later,283,user_list,binomial phrase,medium,common,no,medium
night and day,284,user_list,binomial phrase,medium,common,no,medium
I/I'd like to think,285,user_list,fixed expression,medium,common,no,medium
go too far,286,user_list,fixed expression,medium,common,no,medium
one or two,287,user_list,binomial phrase,medium,common,no,medium
there's/that's... for you,288,user_list,sentence frame/pattern,medium,common,no,low
out of/off your head,289,user_list,fixed/prepositional phrase,medium,common,no,high
in a row,290,user_list,fixed/prepositional phrase,easy,very_common,no,high
what's new?,291,user_list,formula/discourse,easy,very_common,no,high
you're kidding,292,user_list,fixed expression,medium,common,no,medium
have a problem with something,293,user_list,fixed expression,medium,less_common,no,medium
take your place,294,user_list,fixed expression,medium,common,no,medium
in a hole,295,user_list,fixed/prepositional phrase,easy,very_common,no,high
in the hole,296,user_list,fixed/prepositional phrase,easy,very_common,no,high
the real thing,297,user_list,fixed expression,medium,common,no,medium
or else,298,user_list,fixed expression,medium,common,no,medium
take advantage of something/somebody,299,user_list,fixed expression,medium,common,no,medium
that's her/his/their/your problem,300,user_list,fixed expression,medium,common,no,medium
make up your mind,301,user_list,multi-word verb,medium,less_common,no,medium
how do you do,302,user_list,sentence frame/pattern,medium,common,no,low
keep your head,303,user_list,idiom,hard,common,no,medium
know what you're talking about,304,user_list,fixed expression,medium,less_common,no,medium
straight up,305,user_list,fixed expression,medium,common,no,medium
what do you know?,306,user_list,sentence frame/pattern,medium,common,no,low
in other words,307,user_list,fixed/prepositional phrase,easy,very_common,no,high
make somebody's day,308,user_list,fixed expression,medium,common,no,medium
more or less,309,user_list,binomial phrase,medium,common,no,medium
to/till the last,310,user_list,fixed expression,medium,common,no,medium
in reality,311,user_list,fixed/prepositional phrase,easy,very_common,no,high
let alone,312,user_list,formula/discourse,easy,very_common,no,high
in the way of something,313,user_list,fixed expression,medium,less_common,no,medium
just now,314,user_list,fixed expression,medium,common,no,medium
of the moment,315,user_list,fixed/prepositional phrase,easy,very_common,no,high
like shit,316,user_list,fixed expression,hard,rare,no,medium
be meant to be something,317,user_list,fixed expression,medium,less_common,no,medium
if you don't mind,318,user_list,sentence frame/pattern,medium,common,no,low
to my mind,319,user_list,fixed/prepositional phrase,easy,very_common,no,high
on purpose,320,user_list,fixed/prepositional phrase,easy,very_common,no,high
inside out,321,user_list,fixed expression,medium,common,no,medium
one by one,322,user_list,fixed expression,medium,common,no,medium
in a hurry,323,user_list,fixed/prepositional phrase,easy,very_common,no,high
see somebody right,324,user_list,fixed expression,medium,common,no,medium
on the job,325,user_list,fixed/prepositional phrase,easy,very_common,no,high
only just,326,user_list,fixed expression,medium,common,no,medium
to the good,327,user_list,fixed/prepositional phrase,easy,very_common,no,high
in spite of something,328,user_list,fixed expression,medium,common,no,medium
on behalf of somebody,329,user_list,fixed expression,medium,common,no,medium
on the back of something,330,user_list,fixed expression,medium,less_common,no,medium
no chance,331,user_list,fixed expression,medium,common,no,medium
hang/lie heavy,332,user_list,fixed expression,medium,common,no,medium
on paper,333,user_list,fixed/prepositional phrase,easy,very_common,no,high
have/tan somebody's hide,334,user_list,fixed expression,medium,common,no,medium
one and only,335,user_list,binomial phrase,medium,common,no,medium
turn your back on somebody/something,336,user_list,idiom,hard,common,no,medium
lay/get your hands on somebody,337,user_list,idiom,hard,common,no,medium
lay/get your hands on something,338,user_list,idiom,hard,common,no,medium
what is somebody like?,339,user_list,sentence frame/pattern,medium,common,no,low
here and there,340,user_list,binomial phrase,medium,common,no,medium
not to mention,341,user_list,fixed expression,medium,common,no,medium
no fear,342,user_list,fixed expression,medium,common,no,medium
in kind,343,user_list,fixed/prepositional phrase,easy,very_common,no,high
to the death,344,user_list,fixed/prepositional phrase,easy,very_common,no,high
here's to somebody/something,345,user_list,fixed expression,medium,common,no,medium
husband and wife,346,user_list,binomial phrase,medium,common,no,medium
it's about/high time,347,user_list,fixed expression,medium,common,no,medium
make a move,348,user_list,fixed expression,medium,common,no,medium
take somebody/something for granted,349,user_list,fixed expression,medium,common,no,medium
give somebody a break,350,user_list,fixed expression,medium,common,no,medium
make good,351,user_list,fixed expression,medium,common,no,medium
once upon a time,352,user_list,fixed expression,medium,common,no,medium
over the top,353,user_list,fixed/prepositional phrase,easy,very_common,no,high
in the face of something,354,user_list,fixed expression,medium,less_common,no,medium
on camera,355,user_list,fixed/prepositional phrase,easy,very_common,no,high
on the whole,356,user_list,fixed/prepositional phrase,easy,very_common,no,high
on the house,357,user_list,fixed/prepositional phrase,easy,very_common,no,high
in turn,358,user_list,fixed/prepositional phrase,easy,very_common,no,high
to taste,359,user_list,fixed/prepositional phrase,easy,very_common,no,high
make somebody sick,360,user_list,fixed expression,medium,common,no,medium
in full,361,user_list,fixed/prepositional phrase,easy,very_common,no,high
one of these days,362,user_list,fixed expression,medium,common,no,medium
one of those days,363,user_list,fixed expression,medium,common,no,medium
I must say,364,user_list,formula/discourse,easy,very_common,no,high
if you ask me,365,user_list,sentence frame/pattern,medium,common,no,low
the best/better part of something,366,user_list,fixed expression,medium,less_common,no,medium
on high,367,user_list,fixed/prepositional phrase,easy,very_common,no,high
under pressure,368,user_list,fixed/prepositional phrase,easy,very_common,no,high
ring a bell,369,user_list,fixed expression,medium,common,no,medium
on somebody's shoulders,370,user_list,fixed expression,medium,common,no,medium
in the hands of somebody,371,user_list,fixed expression,medium,less_common,no,medium
like a dog,372,user_list,idiom,hard,common,no,medium
with respect,373,user_list,fixed/prepositional phrase,easy,very_common,no,high
lay somebody low,374,user_list,fixed expression,medium,common,no,medium
no less,375,user_list,fixed expression,medium,common,no,medium
hand in hand,376,user_list,idiom,hard,common,no,medium
of steel,377,user_list,fixed/prepositional phrase,easy,very_common,no,high
the last minute/moment,378,user_list,fixed expression,medium,common,no,medium
turn somebody's head,379,user_list,idiom,hard,common,no,medium
something is what it is,380,user_list,fixed expression,medium,less_common,no,medium
time after time,381,user_list,fixed expression,medium,common,no,medium
to be sure,382,user_list,fixed/prepositional phrase,easy,very_common,no,high
heart and soul,383,user_list,binomial phrase,medium,common,no,medium
shades of somebody/something,384,user_list,fixed expression,medium,common,no,medium
straight off/out,385,user_list,fixed expression,medium,common,no,medium
side by side,386,user_list,fixed expression,medium,common,no,medium
like hell,387,user_list,fixed expression,medium,common,no,medium
off and on/on and off,388,user_list,binomial phrase,medium,less_common,no,medium
hop it,389,user_list,fixed expression,medium,common,no,medium
away from home,390,user_list,idiom,hard,common,no,medium
to the bone,391,user_list,fixed/prepositional phrase,easy,very_common,no,high
have/get the best of something,392,user_list,fixed expression,medium,less_common,no,medium
tell me about it,393,user_list,formula/discourse,easy,very_common,no,high
whatever you do,394,user_list,fixed expression,medium,common,no,medium
stand alone,395,user_list,fixed expression,medium,common,no,medium
I beg your pardon,396,user_list,formula/discourse,easy,very_common,no,high
learn your lesson,397,user_list,fixed expression,medium,common,no,medium
go far,398,user_list,fixed expression,medium,common,no,medium
quite a few,399,user_list,fixed expression,medium,common,no,medium
if/when you think about it,400,user_list,fixed expression,medium,less_common,no,medium
in/over the course of...,401,user_list,sentence frame/pattern,medium,common,no,low
on the shelf,402,user_list,fixed/prepositional phrase,easy,very_common,no,high
to start with,403,user_list,fixed/prepositional phrase,easy,very_common,no,high
in their/our/its/your midst,404,user_list,fixed/prepositional phrase,easy,very_common,no,high
pardon me,405,user_list,formula/discourse,easy,very_common,no,high
have a ball,406,user_list,idiom,hard,common,no,medium
save the day/situation,407,user_list,fixed expression,medium,common,no,medium
in common with somebody/something,408,user_list,fixed expression,medium,common,no,medium
in/with regard to somebody/something,409,user_list,fixed expression,medium,common,no,medium
hold your breath,410,user_list,formula/discourse,easy,very_common,no,high
in progress,411,user_list,fixed/prepositional phrase,easy,very_common,no,high
on the spot,412,user_list,fixed/prepositional phrase,easy,very_common,no,high
on/to one side,413,user_list,fixed expression,medium,common,no,medium
in the van,414,user_list,fixed/prepositional phrase,easy,very_common,no,high
to begin with,415,user_list,fixed/prepositional phrase,easy,very_common,no,high
wait and see,416,user_list,formula/discourse,easy,very_common,no,high
lose your way,417,user_list,fixed expression,medium,common,no,medium
in a word,418,user_list,fixed/prepositional phrase,easy,very_common,no,high
in action,419,user_list,fixed/prepositional phrase,easy,very_common,no,high
like anything,420,user_list,fixed expression,medium,common,no,medium
on spec,421,user_list,fixed/prepositional phrase,easy,very_common,no,high
up in the air,422,user_list,idiom,medium,very_common,no,high
what's the deal?,423,user_list,formula/discourse,easy,very_common,no,high
once and for all,424,user_list,binomial phrase,medium,common,no,medium
keep somebody waiting,425,user_list,fixed expression,medium,common,no,medium
look here,426,user_list,fixed expression,medium,common,no,medium
be nothing to somebody,427,user_list,fixed expression,medium,common,no,medium
keep your mouth shut,428,user_list,fixed expression,medium,common,no,medium
keep/lose track of somebody/something,429,user_list,fixed expression,medium,common,no,medium
roll on...!,430,user_list,sentence frame/pattern,medium,common,no,low
up front,431,user_list,fixed/prepositional phrase,easy,very_common,no,high
go/run deep,432,user_list,fixed expression,medium,common,no,medium
in character,433,user_list,fixed/prepositional phrase,easy,very_common,no,high
in short,434,user_list,fixed/prepositional phrase,easy,very_common,no,high
up before somebody/something,435,user_list,fixed expression,medium,common,no,medium
off/on your game,436,user_list,fixed expression,medium,common,no,medium
speak for itself/themselves,437,user_list,multi-word verb,medium,less_common,no,medium
speak for yourself,438,user_list,multi-word verb,medium,less_common,no,medium
be my guest,439,user_list,formula/discourse,easy,very_common,no,high
just my/somebody's luck,440,user_list,fixed expression,medium,common,no,medium
like crazy/mad,441,user_list,fixed expression,medium,common,no,medium
in the sight of somebody/in somebody's sight,442,user_list,fixed expression,medium,less_common,no,low
wait for it,443,user_list,formula/discourse,easy,very_common,no,high
in/into the distance,444,user_list,fixed expression,medium,common,no,medium
on hold,445,user_list,fixed/prepositional phrase,easy,very_common,no,high
so be it,446,user_list,fixed expression,medium,common,no,medium
to the full,447,user_list,fixed/prepositional phrase,easy,very_common,no,high
long live somebody/something,448,user_list,fixed expression,medium,common,no,medium
no end,449,user_list,fixed expression,medium,common,no,medium
God/Heaven help somebody,450,user_list,fixed expression,medium,common,no,medium
look bad,451,user_list,fixed expression,medium,common,no,medium
be lost in something,452,user_list,fixed expression,medium,common,no,medium
in private,453,user_list,fixed/prepositional phrase,easy,very_common,no,high
take a risk,454,user_list,fixed expression,medium,common,no,medium
on the surface,455,user_list,fixed/prepositional phrase,easy,very_common,no,high
in the background,456,user_list,fixed/prepositional phrase,easy,very_common,no,high
so to speak,457,user_list,fixed expression,medium,common,no,medium
sure thing,458,user_list,fixed expression,medium,common,no,medium
be done in,459,user_list,fixed expression,medium,common,no,medium
in the midst of something/of doing something,460,user_list,fixed expression,medium,less_common,no,low
mean to say,461,user_list,fixed expression,medium,common,no,medium
shut your mouth/face!,462,user_list,formula/discourse,easy,very_common,no,high
out of hand,463,user_list,fixed/prepositional phrase,easy,very_common,no,high
the hard way,464,user_list,fixed expression,medium,common,no,medium
in the long run,465,user_list,fixed/prepositional phrase,medium,common,no,high
on end,466,user_list,fixed/prepositional phrase,easy,very_common,no,high
out front,467,user_list,fixed/prepositional phrase,easy,very_common,no,high
pack your bags,468,user_list,fixed expression,medium,common,no,medium
